ID	Taxonomy	16S-Behnsen-MY-1	16S-Behnsen-MY-10	16S-Behnsen-MY-11	16S-Behnsen-MY-12	16S-Behnsen-MY-13	16S-Behnsen-MY-14	16S-Behnsen-MY-15	16S-Behnsen-MY-16	16S-Behnsen-MY-17	16S-Behnsen-MY-18	16S-Behnsen-MY-19	16S-Behnsen-MY-2	16S-Behnsen-MY-20	16S-Behnsen-MY-21	16S-Behnsen-MY-22	16S-Behnsen-MY-23	16S-Behnsen-MY-24	16S-Behnsen-MY-25	16S-Behnsen-MY-26	16S-Behnsen-MY-27	16S-Behnsen-MY-28	16S-Behnsen-MY-29	16S-Behnsen-MY-3	16S-Behnsen-MY-30	16S-Behnsen-MY-31	16S-Behnsen-MY-32	16S-Behnsen-MY-33	16S-Behnsen-MY-34	16S-Behnsen-MY-35	16S-Behnsen-MY-36	16S-Behnsen-MY-37	16S-Behnsen-MY-38	16S-Behnsen-MY-39	16S-Behnsen-MY-4	16S-Behnsen-MY-40	16S-Behnsen-MY-41	16S-Behnsen-MY-42	16S-Behnsen-MY-43	16S-Behnsen-MY-44	16S-Behnsen-MY-45	16S-Behnsen-MY-46	16S-Behnsen-MY-47	16S-Behnsen-MY-48	16S-Behnsen-MY-49	16S-Behnsen-MY-5	16S-Behnsen-MY-50	16S-Behnsen-MY-51	16S-Behnsen-MY-52	16S-Behnsen-MY-53	16S-Behnsen-MY-54	16S-Behnsen-MY-55	16S-Behnsen-MY-56	16S-Behnsen-MY-57	16S-Behnsen-MY-58	16S-Behnsen-MY-59	16S-Behnsen-MY-6	16S-Behnsen-MY-60	16S-Behnsen-MY-61	16S-Behnsen-MY-62	16S-Behnsen-MY-63	16S-Behnsen-MY-64	16S-Behnsen-MY-65	16S-Behnsen-MY-66	16S-Behnsen-MY-67	16S-Behnsen-MY-68	16S-Behnsen-MY-69	16S-Behnsen-MY-7	16S-Behnsen-MY-8	16S-Behnsen-MY-9	16S-Negative-Control-sample2	16S-Negative-Ctrl-2-Underhill	16S-Positive-Ctrl-2-Underhill
ASV 412	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Clostridiales ; f__ Clostridiaceae ; g__ Clostridium sensu stricto 1 ; s__ NA	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	3	0	49	1	49	0	0	0	0	0	8	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0
ASV 413	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Lachnospirales ; f__ Lachnospiraceae ; f__ Lachnospiraceae ; s__ NA	42	5	5	0	0	0	0	0	2	0	0	12	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	1	0	0	7	0	0	2	7	1	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	6	0	0	0
ASV 414	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Lachnospirales ; f__ Lachnospiraceae ; g__ GCA-900066575 ; s__ NA	2	1	1	0	0	1	0	0	0	0	0	1	0	0	4	1	4	3	2	6	3	0	0	3	3	6	10	6	0	1	2	0	0	1	5	6	14	13	17	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 415	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Lachnospirales ; f__ Lachnospiraceae ; g__ Lachnoclostridium ; s__ NA	0	2	3	1	2	4	2	1	0	1	3	0	4	4	12	3	0	30	2	0	0	0	0	2	0	2	8	3	0	0	6	2	2	0	2	3	0	6	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0
ASV 416	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Clostridia vadinBB60 group ; o__ Clostridia vadinBB60 group ; o__ Clostridia vadinBB60 group ; s__ NA	9	3	4	0	0	0	0	0	0	3	2	8	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	3	3	3	2	37	0	1	1	0	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	6	12	0	0	0
ASV 417	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Lachnospirales ; f__ Lachnospiraceae ; g__ Lachnospiraceae NK4A136 group ; s__ NA	0	1	4	0	0	1	0	0	0	0	0	2	0	1	9	9	13	23	7	0	2	0	1	2	1	1	8	1	0	2	2	0	0	0	0	3	7	3	11	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
ASV 418	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Clostridiales ; f__ Clostridiaceae ; g__ Clostridium sensu stricto 1 ; s__ NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	21	24	45	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV 419	k__Bacteria ; p__ Firmicutes ; c__ Bacilli ; o__ Erysipelotrichales ; f__ Erysipelatoclostridiaceae ; f__ Erysipelatoclostridiaceae ; s__ NA	0	1	2	3	0	2	3	0	1	0	0	1	0	1	6	22	2	3	6	10	2	23	0	0	3	2	3	0	2	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	4	5	0	0	0
ASV 420	k__Bacteria ; p__ Bacteroidota ; c__ Bacteroidia ; o__ Bacteroidales ; f__ Muribaculaceae ; f__ Muribaculaceae ; s__ NA	15	0	0	0	1	0	0	0	3	0	0	22	0	0	0	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 421	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Lachnospirales ; f__ Lachnospiraceae ; g__ Lachnospiraceae NK4A136 group ; s__ NA	0	63	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	35	0	0	0
ASV 422	k__Bacteria ; p__ Firmicutes ; c__ Bacilli ; o__ Lactobacillales ; f__ Lactobacillaceae ; g__ Lactobacillus ; s__ NA	2	15	15	0	0	0	0	0	0	0	3	10	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	2	2	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	6	21	0	0	0
ASV 423	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Lachnospirales ; f__ Lachnospiraceae ; g__ Lachnospiraceae UCG-006 ; s__ NA	15	2	11	0	1	1	1	1	0	0	0	4	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	3	56	0	0	0
ASV 424	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Oscillospirales ; f__ Ruminococcaceae ; g__ [Eubacterium] siraeum group ; s__ NA	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0
ASV 425	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Oscillospirales ; f__ Ruminococcaceae ; f__ Ruminococcaceae ; s__ NA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	9	20	37	28	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 426	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Lachnospirales ; f__ Lachnospiraceae ; g__ Marvinbryantia ; s__ NA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	3	1	1	2	3	1	3	0	11	10	13	8	12	0	0	3	0	0	0	13	0	13	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 427	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Oscillospirales ; f__ Oscillospiraceae ; f__ Oscillospiraceae ; s__ NA	24	0	2	2	0	0	0	0	0	0	0	6	0	0	1	0	4	0	1	0	0	0	5	2	0	0	3	3	0	0	0	0	0	13	3	3	2	10	6	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	1	3	0	0	0
ASV 428	k__Bacteria ; p__ Firmicutes ; c__ Bacilli ; o__ Staphylococcales ; f__ Staphylococcaceae ; g__ Staphylococcus ; s__ NA	0	6	2	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	1	1	0	2	0	0	0	0	0	0	0	0	0	33	17	0	22	1	0	1	0	0	0	0	0	0	1	0	3	0	0	0	1	0	1	0	0	5	1	3	0	0	0
ASV 429	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Lachnospirales ; f__ Lachnospiraceae ; f__ Lachnospiraceae ; s__ NA	10	12	1	1	1	0	1	0	0	4	1	7	6	3	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	11	1	2	10	1	0	7	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	15	7	0	0	0
ASV 430	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Lachnospirales ; f__ Lachnospiraceae ; f__ Lachnospiraceae ; s__ NA	17	1	5	0	4	0	0	0	2	3	1	13	1	4	2	3	5	1	5	0	1	2	0	0	0	0	0	0	8	0	10	0	1	1	1	0	1	2	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	4	3	0	0	0
ASV 431	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Lachnospirales ; f__ Lachnospiraceae ; g__ Lachnoclostridium ; s__ NA	0	10	9	0	0	0	0	0	1	0	0	0	1	0	5	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	1	3	1	0	6	12	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	16	21	9	0	0	0
ASV 432	k__Bacteria ; p__ Firmicutes ; c__ Bacilli ; o__ Erysipelotrichales ; f__ Erysipelotrichaceae ; g__ Turicibacter ; s__ NA	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	6	29	4	0	0	0	0	0	2	0	1	0	0	3	0	1	3	19	16	12	1	0	0	0	0	0	0
ASV 433	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Lachnospirales ; f__ Lachnospiraceae ; f__ Lachnospiraceae ; s__ NA	24	0	5	0	0	0	0	0	1	0	0	22	0	0	0	0	0	0	0	0	0	0	1	1	5	11	2	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	1	4	3	0	0	0
ASV 434	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Lachnospirales ; f__ Lachnospiraceae ; g__ Lachnoclostridium ; s__ NA	0	0	0	0	0	4	0	0	10	3	0	0	3	2	0	0	0	0	0	13	6	19	0	7	6	8	2	13	1	1	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV 435	k__Bacteria ; p__ Firmicutes ; c__ Bacilli ; o__ Erysipelotrichales ; f__ Erysipelotrichaceae ; g__ Turicibacter ; s__ NA	0	3	7	0	0	3	1	4	4	5	6	2	7	1	0	3	2	1	1	0	0	0	0	0	0	0	2	0	6	10	8	10	6	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	2	1	4	0	0	0
ASV 436	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Clostridia UCG-014 ; o__ Clostridia UCG-014 ; o__ Clostridia UCG-014 ; s__ NA	0	0	0	11	13	6	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 437	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Lachnospirales ; f__ Lachnospiraceae ; g__ [Eubacterium] xylanophilum group ; s__ NA	0	0	0	0	6	3	6	0	2	3	24	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	1	2	0	8	0	2	1	3	4	14	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 438	k__Bacteria ; p__ Proteobacteria ; c__ Gammaproteobacteria ; o__ Enterobacterales ; f__ Enterobacteriaceae ; g__ Salmonella ; s__ enterica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	23	0	7	7	7	6	0	0	0	0	3	4	0	7	0	1	11	1	4	7	2	0	0	0	0	0	0	0	0
ASV 439	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Oscillospirales ; f__ Oscillospiraceae ; g__ Oscillibacter ; s__ NA	0	0	0	2	0	0	0	2	0	14	2	0	1	3	11	4	3	1	8	0	0	0	0	0	0	1	0	3	9	0	39	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 440	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Clostridia UCG-014 ; o__ Clostridia UCG-014 ; o__ Clostridia UCG-014 ; s__ NA	0	0	0	0	0	0	0	0	1	4	5	0	11	8	0	0	0	0	0	3	2	0	5	0	0	0	0	0	10	8	4	6	4	14	2	0	0	2	13	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 441	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Lachnospirales ; f__ Lachnospiraceae ; g__ Lachnoclostridium ; s__ NA	1	0	0	2	1	2	1	1	0	0	3	3	4	4	31	4	3	4	16	1	0	0	0	2	0	5	1	3	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0
ASV 442	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Clostridia UCG-014 ; o__ Clostridia UCG-014 ; o__ Clostridia UCG-014 ; s__ NA	0	0	1	0	23	11	0	0	2	2	2	0	12	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	22	0	5	12	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
ASV 443	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Lachnospirales ; f__ Lachnospiraceae ; f__ Lachnospiraceae ; s__ NA	27	14	2	0	1	0	0	0	3	1	1	16	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	4	0	0	0
ASV 444	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Lachnospirales ; f__ Lachnospiraceae ; f__ Lachnospiraceae ; s__ NA	11	15	5	0	2	0	0	0	0	0	1	2	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	4	0	2	2	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	17	22	0	0	0
ASV 445	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Lachnospirales ; f__ Lachnospiraceae ; f__ Lachnospiraceae ; s__ NA	0	0	0	0	0	1	0	4	2	1	2	1	3	3	1	0	0	0	0	12	11	16	0	5	7	12	0	14	0	0	4	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV 446	k__Bacteria ; p__ Firmicutes ; c__ Bacilli ; o__ Staphylococcales ; f__ Staphylococcaceae ; g__ Staphylococcus ; s__ NA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	6	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 447	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Clostridia UCG-014 ; o__ Clostridia UCG-014 ; o__ Clostridia UCG-014 ; s__ NA	2	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 448	k__Bacteria ; p__ Firmicutes ; c__ Bacilli ; o__ Erysipelotrichales ; f__ Erysipelotrichaceae ; g__ Turicibacter ; s__ NA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	24	28	10	2	0	0	0	0	0	0
ASV 449	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Oscillospirales ; f__ Oscillospiraceae ; g__ Colidextribacter ; s__ NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	24	36	4	32	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 450	k__Bacteria ; p__ Firmicutes ; c__ Bacilli ; o__ RF39 ; o__ RF39 ; o__ RF39 ; s__ NA	1	0	0	0	0	0	5	0	2	2	4	0	16	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	5	2	4	4	5	0	0	0	0	1	42	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 451	k__Bacteria ; p__ Actinobacteriota ; c__ Coriobacteriia ; o__ Coriobacteriales ; f__ Atopobiaceae ; g__ Coriobacteriaceae UCG-002 ; s__ NA	5	0	0	0	0	0	0	2	2	0	0	19	0	0	0	0	0	0	0	6	10	0	14	0	0	0	0	0	0	0	0	0	0	0	10	3	4	4	0	0	0	0	1	0	5	0	0	0	1	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 452	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Clostridiales ; f__ Clostridiaceae ; g__ Clostridium sensu stricto 1 ; s__ NA	1	0	9	0	1	0	1	0	2	1	0	6	1	0	2	3	0	4	5	0	0	0	4	0	4	2	4	0	2	3	7	3	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	8	6	9	0	0	0
ASV 453	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Lachnospirales ; f__ Lachnospiraceae ; g__ Lachnospiraceae NK4A136 group ; s__ NA	0	0	1	2	7	16	4	8	2	0	0	6	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0
ASV 454	k__Bacteria ; p__ Actinobacteriota ; c__ Coriobacteriia ; o__ Coriobacteriales ; f__ Eggerthellaceae ; g__ Adlercreutzia ; s__ NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	23	44	28	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 455	k__Bacteria ; p__ Bacteroidota ; c__ Bacteroidia ; o__ Bacteroidales ; f__ Muribaculaceae ; f__ Muribaculaceae ; s__ NA	18	0	0	0	0	0	1	0	1	0	0	9	0	0	0	0	0	0	0	0	0	2	13	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	13	0	1	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 456	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Lachnospirales ; f__ Lachnospiraceae ; g__ Lachnospiraceae NK4A136 group ; s__ NA	43	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0
ASV 457	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Lachnospirales ; f__ Lachnospiraceae ; g__ Lachnospiraceae NK4A136 group ; s__ NA	15	0	0	0	0	4	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	42	0	3	17	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV 458	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Lachnospirales ; f__ Lachnospiraceae ; f__ Lachnospiraceae ; s__ NA	3	3	7	0	0	1	0	0	2	0	0	15	0	0	1	0	0	0	2	1	0	1	2	0	0	0	1	0	0	0	0	0	0	13	0	1	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	5	11	0	0	0	0
ASV 459	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Lachnospirales ; f__ Lachnospiraceae ; g__ Lachnoclostridium ; s__ NA	0	4	1	0	0	0	0	0	0	0	0	0	0	1	5	10	1	39	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	2	0	0	0
ASV 460	k__Bacteria ; p__ Firmicutes ; c__ Bacilli ; o__ Lactobacillales ; f__ Lactobacillaceae ; g__ Lactobacillus ; s__ NA	0	7	10	2	1	1	0	0	3	4	4	3	0	6	0	0	0	0	0	0	0	0	1	1	0	0	0	0	4	3	8	13	4	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	5	3	0	0	0
ASV 461	k__Bacteria ; p__ Firmicutes ; c__ Bacilli ; o__ Lactobacillales ; f__ Lactobacillaceae ; g__ Lactobacillus ; s__ NA	0	0	1	1	1	2	2	1	5	7	8	1	0	5	0	0	0	0	0	1	0	0	1	0	0	0	0	1	13	5	11	22	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV 462	k__Bacteria ; p__ Proteobacteria ; c__ Gammaproteobacteria ; o__ Enterobacterales ; f__ Enterobacteriaceae ; g__ Mangrovibacter ; s__ NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	9	0	15	1	17	7	0	0	3	0	10	11	0	0	0	1	0	0	4	0	5	1	0	0	0	0	0	0	1
ASV 463	k__Bacteria ; p__ Proteobacteria ; c__ Gammaproteobacteria ; o__ Enterobacterales ; f__ Enterobacteriaceae ; g__ Salmonella ; s__ NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	20	0	5	4	5	8	0	0	0	0	3	0	0	10	0	0	10	3	1	0	10	1	1	0	0	0	0	0	0
ASV 464	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Lachnospirales ; f__ Lachnospiraceae ; f__ Lachnospiraceae ; s__ NA	18	2	2	0	0	0	0	0	0	0	1	7	0	0	3	4	2	12	2	0	0	0	3	1	0	0	4	0	0	1	1	0	0	6	0	0	4	3	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	6	5	0	0	0
ASV 465	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Clostridia UCG-014 ; o__ Clostridia UCG-014 ; o__ Clostridia UCG-014 ; s__ NA	0	4	11	1	3	7	0	0	4	5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	10	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	9	11	0	0	0
ASV 466	k__Bacteria ; p__ Firmicutes ; c__ Bacilli ; o__ Lactobacillales ; f__ Streptococcaceae ; g__ Lactococcus ; s__ NA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	20	15	19	10	28	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 467	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Oscillospirales ; f__ Oscillospiraceae ; g__ Oscillibacter ; s__ NA	8	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	3	2	0	0	70	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
